t = 0.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 0.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 1.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 1.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 2.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 2.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 3.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 3.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 4.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 4.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 5.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 5.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 6.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 6.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 7.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 7.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 8.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 8.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 9.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 9.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 10.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 10.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 11.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 11.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
