Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=25_size=480_step=180_rho=0.100000/', output='./linear_node=25_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8633426128454962
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8603896103896104
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8860513739545999
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8443452380952381
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8816964285714286
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8626090404440919
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9013144590495449
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8791459781529295
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8899572649572649
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8742565424266455
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.8972972972972973
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8382117882117882
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8605445544554456
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8647321428571428
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8623058542413382
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.8996003996003996
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8799762329174093
train acc=1.0, test acc=0.8557213930348259, train auc=1.0, test auc=0.8555082227065584
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.863491747862398
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9007440476190477
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8404497721418664
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9079836945714853
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8751488095238096
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8804259634888438
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.8977001194743132
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8802008608321377
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.878599801390268
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.9014847512038523
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8849127676447264
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8844091360476664
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8675183933187511
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8911170528817588
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8702702702702703
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9097968936678614
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8501501501501502
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8661001609010458
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8867877207062599
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9114396654719236
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8647147147147147
train acc=1.0, test acc=0.8308457711442786, train auc=1.0, test auc=0.8305940594059407
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.883476266453929
train acc=1.0, test acc=0.9154228855721394, train auc=1.0, test auc=0.9130824372759857
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8805445544554457
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8797581284694687
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.87348379399483
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8452168746286393
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.825940594059406
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8805704099821746
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8884408602150538
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9031968031968032
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8635490394337716
train acc=1.0, test acc=0.9104477611940298, train auc=1.0, test auc=0.9084084084084083
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8714157706093191
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.880718954248366
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8954950495049506
train acc=1.0, test acc=0.8258706467661692, train auc=1.0, test auc=0.8260396039603961
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.882788868723533
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8956930693069308
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8965722211214584
train acc=1.0, test acc=0.8507462686567164, train auc=1.0, test auc=0.8421135316296606
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8940343781597574
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8955815335843076
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8638392857142856
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8461309523809523
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8675824175824176
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8623093900481541
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8704950495049504
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8713786213786213
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8750765774964264
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8963245492371706
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.874025974025974
train acc=1.0, test acc=0.900497512437811, train auc=1.0, test auc=0.8998511904761904
train acc=1.0, test acc=0.8955223880597015, train auc=1.0, test auc=0.8937499999999999
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8879414125200643
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8654695024077047
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8734543278819306
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8625847626645393
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8394138143062103
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8891261171797418
train acc=1.0, test acc=0.8706467661691543, train auc=1.0, test auc=0.8697266785502079
